City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hilo,19.7297,-155.09,78.53,65,40,10.36,US,1638132336
1,cidreira,-30.1811,-50.2056,72.3,87,100,8.61,BR,1638132338
2,punta arenas,-53.15,-70.9167,50.11,62,75,29.93,CL,1638132158
3,ostersund,63.1792,14.6357,18.05,93,99,6.91,SE,1638132345
4,ola,59.5833,151.2833,14.83,87,100,4.21,RU,1638132347
5,batemans bay,-35.7167,150.1833,59.14,67,74,2.55,AU,1638132086
6,viru,-8.4167,-78.75,65.5,69,100,9.35,PE,1638132352
7,kabelvag,68.2114,14.4817,28.4,80,75,5.75,NO,1638132355
8,bovolone,45.2548,11.1263,41.52,86,100,3.11,IT,1638132359
9,atuona,-9.8,-139.0333,78.53,72,1,18.23,PF,1638132362
10,airai,-8.9266,125.4092,60.44,89,100,1.5,TL,1638132365
11,tiksi,71.6872,128.8694,-13.72,99,99,6.53,RU,1638132367
12,cherdyn,60.403,56.4787,27.81,95,100,10.33,RU,1638132369
13,arman,59.7,150.1667,11.61,94,100,4.59,RU,1638132372
14,hofn,64.2539,-15.2082,31.17,97,100,9.8,IS,1638132334
15,puerto ayora,-0.7393,-90.3518,78.76,81,85,10.18,EC,1638132377
16,kununurra,-15.7667,128.7333,75.18,94,47,0.0,AU,1638132236
17,raglan,-37.8,174.8833,65.39,70,47,4.32,NZ,1638132381
18,maragogi,-9.0122,-35.2225,80.35,81,34,13.65,BR,1638132384
19,mamakan,57.8161,114.0028,2.39,92,100,2.01,RU,1638132386
20,yellowknife,62.456,-114.3525,18.12,93,90,12.66,CA,1638132319
21,half moon bay,37.4636,-122.4286,66.38,65,1,0.0,US,1638132237
22,jamestown,42.097,-79.2353,36.72,100,90,11.5,US,1638132292
23,broome,42.2506,-75.833,32.77,100,90,8.05,US,1638132396
24,ushuaia,-54.8,-68.3,46.06,71,40,20.71,AR,1638132398
25,lerwick,60.1545,-1.1494,32.0,54,98,8.7,GB,1638132400
26,hithadhoo,-0.6,73.0833,81.37,75,66,17.43,MV,1638132403
27,rikitea,-23.1203,-134.9692,76.73,74,11,16.35,PF,1638132406
28,bandarbeyla,9.4942,50.8122,77.7,75,36,18.81,SO,1638132408
29,arraial do cabo,-22.9661,-42.0278,78.76,83,20,6.91,BR,1638132411
30,hasaki,35.7333,140.8333,32.4,48,2,0.89,JP,1638132413
31,presidencia roque saenz pena,-26.7852,-60.4388,78.78,64,32,11.92,AR,1638132416
